,IPA_Number,Symbol,Symbol_Name,Description,Voicing,Place_of_Articulation,Manner_of_Articulation,Height,Backness,Rounding,Status,UCS_Code,AFII_Code,name,url
0,101,p,lower-case P,,voiceless,bilabial,plosive,,,,,0070,E2A2,Voiceless bilabial plosive,https://en.wikipedia.org//wiki/Voiceless_bilabial_plosive
1,102,b,lower-case B,,voiced,bilabial,plosive,,,,,0062,E2A3,Voiced bilabial plosive,https://en.wikipedia.org//wiki/Voiced_bilabial_plosive
2,103,t,lower-case T,,voiceless,dental;alveolar,plosive,,,,,0074,E2B0,Voiceless alveolar plosive,https://en.wikipedia.org//wiki/Voiceless_alveolar_plosive
3,104,d,lower-case D,,voiced,dental;alveolar,plosive,,,,,0064,E2B1,Voiced alveolar plosive,https://en.wikipedia.org//wiki/Voiced_alveolar_plosive
4,105,ʈ,right-tail T,,voiceless,retroflex,plosive,,,,,0288,E2C7,Voiceless retroflex plosive,https://en.wikipedia.org//wiki/Voiceless_retroflex_plosive
5,106,ɖ,right-tail D,,voiced,retroflex,plosive,,,,,0256,E2C8,Voiced retroflex plosive,https://en.wikipedia.org//wiki/Voiced_retroflex_plosive
6,107,c,lower-case C,,voiceless,palatal,plosive,,,,,0063,E2D8,Voiceless palatal plosive,https://en.wikipedia.org//wiki/Voiceless_palatal_plosive
7,108,ɟ,barred dotless J,,voiced,palatal,plosive,,,,,025F,E2D9,Voiced palatal plosive,https://en.wikipedia.org//wiki/Voiced_palatal_plosive
8,109,k,lower-case K,,voiceless,velar,plosive,,,,,006B,E2DE,Voiceless velar plosive,https://en.wikipedia.org//wiki/Voiceless_velar_plosive
9,110,ɡ,opentail G,,voiced,velar,plosive,,,,equivalent to 210,0261,E2DF,Voiced velar plosive,https://en.wikipedia.org//wiki/Voiced_velar_plosive
10,111,q,lower-case Q,,voiceless,uvular,plosive,,,,,0071,E2E6,Voiceless uvular plosive,https://en.wikipedia.org//wiki/Voiceless_uvular_plosive
11,112,ɢ,small capital G,,voiced,uvular,plosive,,,,,0262,E2E7,Voiced uvular plosive,https://en.wikipedia.org//wiki/Voiced_uvular_plosive
12,113,ʔ,glottal stop,,,glottal,plosive,,,,,0294,E2ED,Glottal stop,https://en.wikipedia.org//wiki/Glottal_stop
13,114,m,lower-case M,,voiced,bilabial,nasal,,,,,006D,E2A1,Voiced bilabial nasal,https://en.wikipedia.org//wiki/Voiced_bilabial_nasal
14,115,ɱ,left-tail M (at right),,voiced,labiodental,nasal,,,,,0271,E2AB,Voiced labiodental nasal,https://en.wikipedia.org//wiki/Voiced_labiodental_nasal
15,116,n,lower-case N,,voiced,dental;alveolar,nasal,,,,,006E,E2AF,Voiced alveolar nasal,https://en.wikipedia.org//wiki/Voiced_alveolar_nasal
16,117,ɳ,right-tail N,,voiced,retroflex,nasal,,,,,0273,E2C6,Voiced retroflex nasal,https://en.wikipedia.org//wiki/Voiced_retroflex_nasal
17,118,ɲ,left-tail N (at left),,voiced,palatal,nasal,,,,,0272,E2D7,Voiced palatal nasal,https://en.wikipedia.org//wiki/Voiced_palatal_nasal
18,119,ŋ,eng,,voiced,velar,nasal,,,,,014B,E2DD,Voiced velar nasal,https://en.wikipedia.org//wiki/Voiced_velar_nasal
19,120,ɴ,small capital N,,voiced,uvular,nasal,,,,,0274,E2E4,Voiced uvular nasal,https://en.wikipedia.org//wiki/Voiced_uvular_nasal
20,121,ʙ,small capital B,,voiced,bilabial,trill,,,,,0299,E2F0,Voiced bilabial trill,https://en.wikipedia.org//wiki/Voiced_bilabial_trill
21,122,r,lower-case R,,voiced,dental;alveolar,trill,,,,,0072,E2C0,Voiced alveolar trill,https://en.wikipedia.org//wiki/Voiced_alveolar_trill
22,123,ʀ,small capital R,,voiced,uvular,trill,,,,,0280,E2EA,Voiced uvular trill,https://en.wikipedia.org//wiki/Voiced_uvular_trill
23,124,ɾ,fish-hook R,,voiced,dental;alveolar,tap,,,,,027E,E2C1,Voiced dental and alveolar taps and flaps,https://en.wikipedia.org//wiki/Voiced_dental_and_alveolar_taps_and_flaps
